Feature	CompGroup(C)	BaseGroup(B)	NumSamplesInC	NumSamplesInB	SignedFC	Tstatistic	Parameter	Pvalue	95%Conf.Int.1	95%Conf.Int.2	MeanC	MeanB	NullValue-DifferenceInMeans	Alternative	Method	FDR
51	210078_s_at|KCNAB1	Incipent	Control	7	8	-1.4805537398388	-3.84007341003963	12.8748517279449	0.00208015514521573	-0.884952100011979	-0.247321614273736	6.07617414285714	6.642311	0	two.sided	Welch Two Sample t-test	0.999448188432275
52	225250_at|STIM2	Incipent	Control	7	8	-1.22158017466362	-3.83388989223921	12.9086687559211	0.00209507455306924	-0.451573331441591	-0.125923775701266	2.12875157142857	2.417500125	0	two.sided	Welch Two Sample t-test	0.999448188432275
53	232090_at|DNM3OS	Incipent	Control	7	8	1.70241175522604	4.01345528648351	10.741364998928	0.00213697555821115	0.345398017503514	1.18976201821077	3.34952414285714	2.581944125	0	two.sided	Welch Two Sample t-test	0.999448188432275
54	213038_at|RNF19B	Incipent	Control	7	8	-1.38253934282373	-3.84261177210355	12.4411585079003	0.00219746300044962	-0.731259238121668	-0.203381833306904	3.50040371428571	3.96772425	0	two.sided	Welch Two Sample t-test	0.999448188432275
55	213479_at|NPTX2	Incipent	Control	7	8	-1.91371759190512	-4.01822718556084	10.5422946997238	0.00220024948530341	-1.45200923648629	-0.42074665637085	6.61354542857143	7.549923375	0	two.sided	Welch Two Sample t-test	0.999448188432275
56	235829_at|CAHM	Incipent	Control	7	8	1.54275480261028	3.81194352067635	12.7244357529989	0.0022379817043924	0.270227953163435	0.980789618265136	3.48075128571429	2.8552425	0	two.sided	Welch Two Sample t-test	0.999448188432275
57	232411_at|KCNJ6	Incipent	Control	7	8	-1.33329311556641	-3.83187298652946	12.3566113480848	0.00226834758371653	-0.650207544390157	-0.179780419895558	2.02724014285714	2.442234125	0	two.sided	Welch Two Sample t-test	0.999448188432275
58	206996_x_at|CACNB1	Incipent	Control	7	8	-1.28134792795421	-3.78697589032025	12.8795399077761	0.00229817839930359	-0.561893200704374	-0.153431335009911	3.47063985714286	3.828302125	0	two.sided	Welch Two Sample t-test	0.999448188432275
59	224036_s_at|LMBR1	Incipent	Control	7	8	-1.69196433802122	-3.78314484558058	12.8944843441787	0.00231040550894005	-1.1923157472502	-0.325082574178374	2.98628971428571	3.744988875	0	two.sided	Welch Two Sample t-test	0.999448188432275
60	210836_x_at|PDE4D	Incipent	Control	7	8	-1.58584552832533	-3.83706340481122	12.1322607251646	0.00231993903833409	-1.04254847931262	-0.28795602068738	3.58013	4.24538225	0	two.sided	Welch Two Sample t-test	0.999448188432275
